index,pred
813,1
814,0
815,0
816,0
817,0
818,0
819,1
820,0
821,1
822,1
823,0
824,0
825,0
826,0
827,0
828,1
829,0
830,1
831,1
832,0
833,0
834,0
835,0
836,0
837,1
838,1
839,1
840,0
841,1
842,1
843,1
844,0
845,0
846,1
847,0
848,1
849,1
850,0
851,0
852,1
853,1
854,1
855,1
856,0
857,0
858,0
859,0
860,0
861,1
862,1
863,0
864,1
865,0
866,1
867,0
868,0
869,1
870,1
871,0
872,0
873,0
874,1
875,1
876,1
877,1
878,1
879,0
880,0
881,1
882,0
883,1
884,0
885,0
886,0
887,1
888,1
889,1
890,0
891,0
892,0
893,0
894,0
895,1
896,0
897,0
898,0
899,1
900,1
901,1
902,1
903,0
904,1
905,1
906,0
907,1
908,1
909,0
910,0
911,1
912,0
913,0
914,1
915,1
916,0
917,0
918,0
919,1
920,1
921,1
922,1
923,0
924,0
925,1
926,0
927,1
928,1
929,0
930,0
931,0
932,1
933,0
934,1
935,0
936,0
937,0
938,1
939,0
940,1
941,0
942,1
943,1
944,0
945,1
946,0
947,1
948,1
949,0
950,0
951,1
952,0
953,0
954,0
955,1
956,1
957,0
958,0
959,0
960,1
961,0
962,0
963,1
964,0
965,0
966,0
967,1
968,0
969,0
970,0
971,1
972,0
973,0
974,0
975,1
976,0
977,0
978,1
979,0
980,1
981,1
982,1
983,1
984,0
985,0
986,0
987,1
988,0
989,1
990,1
991,0
992,0
993,0
994,0
995,0
996,0
997,1
998,1
999,1
1000,1
1001,0
1002,1
1003,0
1004,0
1005,0
1006,1
1007,1
1008,0
1009,1
1010,1
1011,0
1012,1
1013,0
1014,1
1015,1
1016,1
1017,1
1018,0
1019,0
1020,1
1021,0
1022,1
1023,1
1024,1
1025,1
1026,1
1027,1
1028,1
1029,0
1030,0
1031,0
1032,1
1033,0
1034,0
1035,0
1036,1
1037,1
1038,0
1039,0
1040,0
1041,0
1042,0
1043,0
1044,0
1045,0
1046,0
1047,0
1048,0
1049,1
1050,1
1051,0
1052,0
1053,0
1054,1
1055,1
1056,0
1057,1
1058,1
1059,1
1060,0
1061,1
1062,0
1063,0
1064,0
1065,1
